Channel,Quality,Usability,Included,Reason,baseline_mean,baseline_std,baseline_centered,signal_range,noise_to_signal,mean_resistance,in_good_range,high_freq_noise_ratio,has_high_freq_noise,drift_rate,has_drift
d1,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,91.50526155298576,,999866.0315124989,True,0.0,False,,False
d2,DEAD,EXCLUDE,False,Sensor saturated or unstable,,,False,114238.41059610248,,95072620.43890408,False,0.0,False,,False
d3,POOR,EXCLUDE,False,Resistance too high (9.53e+07Ω > 1MΩ) - not sensitive,,,False,4975.124378100038,,95263909.2121094,False,0.0,False,,False
d4,POOR,EXCLUDE,False,Resistance too high (9.54e+06Ω > 1MΩ) - not sensitive,,,False,332.22591362148523,,9542039.60654029,False,0.0,False,,False
d5,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,91.53597363794688,,999918.0364157622,True,0.0,False,,False
d6,POOR,EXCLUDE,False,Resistance too high (9.51e+07Ω > 1MΩ) - not sensitive,,,False,3311.258278205991,,95097389.94935724,False,0.0,False,,False
d7,DEAD,EXCLUDE,False,Sensor saturated or unstable,,,False,11456.62847790122,,93995603.47870737,False,0.0,False,,False
d8,POOR,EXCLUDE,False,Resistance too high (9.38e+06Ω > 1MΩ) - not sensitive,,,False,490.9983633402735,,9377892.237091241,False,0.0,False,,False
d9,POOR,EXCLUDE,False,Resistance too high (9.53e+07Ω > 1MΩ) - not sensitive,,,False,3316.749585404992,,95272981.49774006,False,0.0,False,,False
d10,DEAD,EXCLUDE,False,Sensor saturated or unstable,,,False,24834.437086090446,,93374659.13517725,False,0.0,False,,False
d11,POOR,EXCLUDE,False,Resistance too high (9.52e+07Ω > 1MΩ) - not sensitive,,,False,3316.749585494399,,95232595.19396482,False,0.0,False,,False
d12,DEAD,EXCLUDE,False,Sensor saturated or unstable,,,False,31509.12106139958,,94870191.52603002,False,0.0,False,,False
d13,POOR,EXCLUDE,False,Resistance too high (9.53e+07Ω > 1MΩ) - not sensitive,,,False,4975.124378100038,,95254966.99508995,False,0.0,False,,False
d14,POOR,EXCLUDE,False,Resistance too high (9.53e+07Ω > 1MΩ) - not sensitive,,,False,4975.124378100038,,95270770.33134976,False,0.0,False,,False
d15,POOR,EXCLUDE,False,Resistance too high (9.53e+07Ω > 1MΩ) - not sensitive,,,False,3316.749585390091,,95256885.507105,False,0.0,False,,False
d16,POOR,EXCLUDE,False,Resistance too high (9.53e+07Ω > 1MΩ) - not sensitive,,,False,4975.124378100038,,95258478.84759213,False,0.0,False,,False
d17,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,1976.2845849799924,,204927.86255338418,True,0.0,False,,False
d18,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,6293.549112159992,,550068.5326951641,True,0.0,False,,False
d19,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,1242.4561403508797,,5750.825593395253,True,0.0,False,,False
d20,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,551.5918680475697,,6394.112382198755,True,0.0,False,,False
d21,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,2018.233697543008,,205080.65429526253,True,0.0,False,,False
d22,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,6408.789196612081,,550074.2755330559,True,0.0,False,,False
d23,MARGINAL,CAUTION,False,Borderline quality - review carefully,,,False,976.14035087719,,5708.6308909528725,True,0.0,False,,False
