Sample,Box_Type,Channel,Quality,Usability,Reason,Baseline_Std,Noise_to_Signal,Mean_Resistance,High_Freq_Noise,Has_Drift
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T1,DEAD,EXCLUDE,No measurable signal variation,0.0,0.0,0.0,0.0,False
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T2,DEAD,EXCLUDE,No measurable signal variation,0.0,0.0,0.0,0.0,False
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T3,POOR,MARGINAL,Significant drift persists after baseline correction,85.72718938586456,0.02985137871225764,117554.07435897437,0.0,True
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T4,DEAD,EXCLUDE,Sensor saturated or unstable,104026.53885766295,0.09177786499537958,20596544.948717948,0.0,True
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T5,POOR,MARGINAL,Significant drift persists after baseline correction,117.45030778423367,0.07889984400391406,127126.36153846153,0.0,True
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T6,POOR,MARGINAL,Significant drift persists after baseline correction,11.003217648084462,0.021184477566581417,20772.202564102565,0.0,True
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T7,POOR,MARGINAL,Significant drift persists after baseline correction,0.3617089069035531,0.02870705610322897,1176.1320512820512,0.0,True
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T8,DEAD,EXCLUDE,Sensor saturated or unstable,493635.74708076613,0.020793228969810812,92745474.97435898,0.0,True
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T9,POOR,MARGINAL,Significant drift persists after baseline correction,0.28722813232693706,0.02930899309428648,1144.5987179487179,0.0,True
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,T10,POOR,MARGINAL,Significant drift persists after baseline correction,2.321704653912702,0.07713304498023242,2002.9615384615388,0.0,True
