Sample,Box_Type,Total_Channels,Excellent,Good,Marginal,Poor,Dead,Usable_Channels,Data_Quality_Percent,Correction_Method
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN950425_052111_0001VRP_BOX_A_TEST_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN950425_052029_0001VRP_BOX_A_TEST_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN080226_010441_0001VRP_BOX_B_TEST_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN080226_010737_0001VRP_BOX_B_TEST_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN950425_051942_0001VRP_BOX_A_TEST_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN950425_052156_0001VRP_BOX_A_TEST_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN080226_010115_0001VRP_BOX_B_TEST_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
UNKNOWN080226_010933_0001VRP_BOX_B_TEST_CLEANED,Taurus,28,0,28,0,0,0,28,100.0,exponential
Fun CP acetone3-12_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
Fun CP acetone2-12_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
Fun cp acetone1-12_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
514 variable 1 and 2 % breath test 3_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
514 variable 1 and 2 % breath test 2_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
514 variable 1 and 2 % breath test 1_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
514 Disease chips variable long test 1_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
514 Disease chips variable long test 2_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
514 Disease chips variable long test 3_CLEANED,Variable,64,0,64,0,0,0,64,100.0,exponential
