Channel,Quality,Usability,Reason,Baseline_Std,Noise_to_Signal,Mean_Resistance,High_Freq_Noise,Has_Drift
T1,DEAD,EXCLUDE,No measurable signal variation,0.04788413882563447,0.47884138777753055,101.05703422053232,0.8356698283805147,False
T2,GOOD,INCLUDE,Acceptable baseline and noise levels,0.09701941924310845,0.1385991703274889,1036.944486692015,0.8011377811922586,False
T3,MARGINAL,CAUTION,Borderline quality - review carefully,0.8408927332262282,0.13562786019557527,10127.268821292775,0.8484661806829121,False
T4,POOR,MARGINAL,Significant drift persists after baseline correction,8.241290803230358,0.1572765420460982,101060.89201520913,0.7492348055692776,True
T5,DEAD,EXCLUDE,No measurable signal variation,0.0,0.0,0.0,0.0,False
T6,DEAD,EXCLUDE,No measurable signal variation,0.0,0.0,190.5,0.0,False
T7,MARGINAL,CAUTION,Borderline quality - review carefully,0.15571420468798072,0.19464275583565663,2024.6418250950571,0.7971980534591061,False
T8,POOR,MARGINAL,Significant drift persists after baseline correction,1.5546814191313065,0.17274237990155913,19779.197338403043,0.840947428630898,True
T9,POOR,MARGINAL,Significant drift persists after baseline correction,15.94426900505766,0.12217830655207236,198519.31368821292,0.8459504117147564,True
T10,POOR,EXCLUDE,Resistance too high (1.94e+06Ω > 1MΩ) - not sensitive,166.1745757675416,0.1230011663712282,1936298.327376426,0.8546858988951195,True
T11,POOR,EXCLUDE,Resistance too low (479Ω < 1kΩ) - not sensitive,0.05403784612602376,0.2701892304950395,478.9433460076046,0.8223133327174,False
T12,MARGINAL,CAUTION,Borderline quality - review carefully,0.4023162583423563,0.15473702243344886,4890.539543726235,0.8531722694641599,False
T13,POOR,MARGINAL,Significant drift persists after baseline correction,4.3216701015067835,0.17149484529722753,48208.66882129278,0.9074102614627362,True
T14,POOR,MARGINAL,Significant drift persists after baseline correction,74.0622361944795,0.22287762923400484,472967.4836501901,0.8330292352212141,True
T15,DEAD,EXCLUDE,No measurable signal variation,0.0,0.0,0.0,0.0,False
T16,POOR,MARGINAL,Significant drift persists after baseline correction,0.8566277859295454,0.1557505065298128,10085.709505703422,0.8318525553179199,True
T17,POOR,MARGINAL,Significant drift persists after baseline correction,0.8042667648974356,0.16413607446546596,9998.389353612167,0.7931566714653695,True
T18,POOR,MARGINAL,Significant drift persists after baseline correction,2.4559962844981866,0.19647970275828308,9810.80114068441,0.8677046931751689,True
T19,POOR,MARGINAL,Significant drift persists after baseline correction,1.034759516153603,0.1668966961511444,10069.46463878327,0.9153745876092122,True
T20,POOR,MARGINAL,Significant drift persists after baseline correction,0.7319689164837132,0.16265975921498826,10090.231939163497,0.8132984769467252,True
T21,POOR,MARGINAL,Significant drift persists after baseline correction,0.8056075253476482,0.1790238945177213,10024.361596958175,0.9214881918477564,True
T22,POOR,MARGINAL,Significant drift persists after baseline correction,2.7706722967901363,0.1979051640550247,9762.088212927758,0.9068631998721586,True
T23,MARGINAL,CAUTION,Borderline quality - review carefully,1.1236951748311146,0.1605278821164374,10043.37680608365,0.8331385492366153,False
T24,POOR,MARGINAL,Significant drift persists after baseline correction,0.8174956853111575,0.1703116011029688,9969.006083650189,0.8980217854085959,True
T25,POOR,MARGINAL,Significant drift persists after baseline correction,0.775224904297105,0.16852715310445598,10039.279847908745,0.8400631128490538,True
T26,POOR,MARGINAL,Significant drift persists after baseline correction,0.7661345338948891,0.17412148497216823,9231.88288973384,0.8380227096565699,True
T27,DEAD,EXCLUDE,No measurable signal variation,0.0,0.0,100.10000000000001,9.173173516237097e-49,False
T28,POOR,EXCLUDE,Resistance too high (1.00e+06Ω > 1MΩ) - not sensitive,384.4278342832421,0.3467374711673343,1001392.0954372624,0.9907168323607377,True
