Sample_Name,Channel,Fault_Type
UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,T1,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,T2,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,T16,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,T19,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,T24,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,T25,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10,T1,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10,T2,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10,T5,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10,T16,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10,T19,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10,T24,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10,T25,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10,T1,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10,T2,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10,T5,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10,T16,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10,T19,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10,T24,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10,T25,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,T1,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,T2,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,T16,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,T19,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,T24,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,T25,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,T1,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,T2,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,T16,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,T19,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,T24,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,T25,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,T1,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,T2,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,T16,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,T19,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,T24,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,T25,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10,T1,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10,T2,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10,T5,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10,T16,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10,T19,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10,T24,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10,T25,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10,T1,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10,T2,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10,T5,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10,T16,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10,T19,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10,T24,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10,T25,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950425_051942_0001VRP_BOX_A_TEST,T5,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950425_051942_0001VRP_BOX_A_TEST,T15,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950425_052156_0001VRP_BOX_A_TEST,T5,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950425_052156_0001VRP_BOX_A_TEST,T15,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950425_052029_0001VRP_BOX_A_TEST,T5,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950425_052029_0001VRP_BOX_A_TEST,T15,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950425_052111_0001VRP_BOX_A_TEST,T5,CRITICAL: STUCK_AT_ZERO_99PCT
UNKNOWN950425_052111_0001VRP_BOX_A_TEST,T15,CRITICAL: STUCK_AT_ZERO_99PCT
