peak_type,peak_index,peak_height,peak_prominence,peak_width,time_to_peak,peak_area,abs_peak_area,left_bound,right_bound,relative_time,sample,channel
positive,7,700,700.0,12.833333333333332,3,8000.0,8000.0,0,13,18.75,UNKNOWN950104_041600_0001VRP_PREGNANCY_CHIP_TEST_10,Pump_Rate
positive,52,1000,1000.0,103.21428571428571,-26,102500.0,102500.0,0,103,-9.885931558935361,UNKNOWN950425_051942_0001VRP_BOX_A_TEST,Pump_Rate
positive,209,1000,1000.0,103.21428571428572,131,102650.0,102650.0,157,260,49.80988593155893,UNKNOWN950425_051942_0001VRP_BOX_A_TEST,Pump_Rate
negative,130,300,700.0,54.0,52,16550.0,16550.0,103,157,19.771863117870723,UNKNOWN950425_051942_0001VRP_BOX_A_TEST,Pump_Rate
positive,4,1000,1000.0,8.214285714285714,-19,7500.0,7500.0,0,8,-24.358974358974358,UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
positive,69,1000,1000.0,13.214285714285715,46,12650.0,12650.0,62,75,58.97435897435898,UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
negative,35,300,700.0,54.0,12,16550.0,16550.0,8,62,15.384615384615385,UNKNOWN071106_014919_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
positive,7,700,700.0,12.833333333333332,3,8000.0,8000.0,0,13,18.75,UNKNOWN950104_041201_0001VRP_PREGNANCY_CHIP_TEST_10,Pump_Rate
positive,52,1000,1000.0,103.21428571428571,-26,102500.0,102500.0,0,103,-9.885931558935361,UNKNOWN950425_052029_0001VRP_BOX_A_TEST,Pump_Rate
positive,209,1000,1000.0,103.21428571428572,131,102650.0,102650.0,157,260,49.80988593155893,UNKNOWN950425_052029_0001VRP_BOX_A_TEST,Pump_Rate
negative,130,300,700.0,54.0,52,16550.0,16550.0,103,157,19.771863117870723,UNKNOWN950425_052029_0001VRP_BOX_A_TEST,Pump_Rate
positive,7,700,700.0,12.833333333333332,3,8000.0,8000.0,0,13,18.75,UNKNOWN950104_041744_0001VRP_PREGNANCY_CHIP_TEST_10,Pump_Rate
positive,52,1000,1000.0,103.21428571428571,-26,102500.0,102500.0,0,103,-9.885931558935361,UNKNOWN950425_052111_0001VRP_BOX_A_TEST,Pump_Rate
positive,209,1000,1000.0,103.21428571428572,131,102650.0,102650.0,157,260,49.80988593155893,UNKNOWN950425_052111_0001VRP_BOX_A_TEST,Pump_Rate
negative,130,300,700.0,54.0,52,16550.0,16550.0,103,157,19.771863117870723,UNKNOWN950425_052111_0001VRP_BOX_A_TEST,Pump_Rate
positive,52,1000,1000.0,103.21428571428571,-26,102500.0,102500.0,0,103,-9.885931558935361,UNKNOWN950425_052156_0001VRP_BOX_A_TEST,Pump_Rate
positive,209,1000,1000.0,103.21428571428572,131,102650.0,102650.0,157,260,49.80988593155893,UNKNOWN950425_052156_0001VRP_BOX_A_TEST,Pump_Rate
negative,130,300,700.0,54.0,52,16550.0,16550.0,103,157,19.771863117870723,UNKNOWN950425_052156_0001VRP_BOX_A_TEST,Pump_Rate
positive,4,1000,1000.0,8.214285714285714,-19,7500.0,7500.0,0,8,-24.358974358974358,UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
positive,69,1000,1000.0,13.214285714285715,46,12650.0,12650.0,62,75,58.97435897435898,UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
negative,35,300,700.0,54.0,12,16550.0,16550.0,8,62,15.384615384615385,UNKNOWN071106_014955_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
positive,4,1000,1000.0,8.214285714285714,-19,7500.0,7500.0,0,8,-24.358974358974358,UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
positive,69,1000,1000.0,13.214285714285715,46,12650.0,12650.0,62,75,58.97435897435898,UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
negative,35,300,700.0,54.0,12,16550.0,16550.0,8,62,15.384615384615385,UNKNOWN071106_015035_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
positive,4,1000,1000.0,8.214285714285714,-19,7500.0,7500.0,0,8,-24.358974358974358,UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
positive,69,1000,1000.0,13.214285714285715,46,12650.0,12650.0,62,75,58.97435897435898,UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
negative,35,300,700.0,54.0,12,16550.0,16550.0,8,62,15.384615384615385,UNKNOWN071106_015111_0001VRP_PREGNANCY_CHIP_TEST_10_A,Pump_Rate
positive,7,700,700.0,12.833333333333332,3,8000.0,8000.0,0,13,18.75,UNKNOWN950104_041356_0001VRP_PREGNANCY_CHIP_TEST_10,Pump_Rate
